Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
144,LILLE,2,MARSEILLE,LILLE,AIX-EN-PROVENCE,BOBIGNY,PERPIGNAN,NANCY
165,LILLE,2,MARSEILLE,LILLE,TOULON,NARBONNE,PERPIGNAN,CLERMONT-FERRAND
198,LILLE,1,LILLE,TOULOUSE,BOBIGNY,LYON,BEAUVAIS,PAU
267,LILLE,1,LILLE,NANTERRE,PONTOISE,STRASBOURG,CLERMONT-FERRAND,NANCY
285,LILLE,1,LILLE,PONTOISE,LYON,MARSEILLE,METZ,NANCY
20,LIMOGES,6,MARSEILLE,LILLE,MEAUX,NANTERRE,SENLIS,LIMOGES
201,LIMOGES,5,LA ROCHELLE,TOURS,POITIERS,SAINTES,LIMOGES,LES SABLES-D'OLONNE
302,LIMOGES,4,TOURS,ORLEANS,POITIERS,LIMOGES,PAU,TOULOUSE
26,LISIEUX,5,AIX-EN-PROVENCE,LILLE,DRAGUIGNAN,LORIENT,LISIEUX,SAINT-NAZAIRE
146,LISIEUX,5,CRETEIL,BOBIGNY,PONTOISE,EVRY,LISIEUX,BEAUVAIS
161,LONS-LE-SAUNIER,3,BESANCON,CHALON-SUR-SAONE,LONS-LE-SAUNIER,BELFORT,VESOUL,BOURG-EN-BRESSE
288,LONS-LE-SAUNIER,3,BESANCON,COLMAR,LONS-LE-SAUNIER,METZ,THONON-LES-BAINS,PERPIGNAN
18,LORIENT,1,LORIENT,TOURS,DRAGUIGNAN,LE HAVRE,COUTANCES,METZ
90,LORIENT,1,LORIENT,MARSEILLE,NICE,LYON,NANCY,LES SABLES-D'OLONNE
10,LYON,1,LYON,NICE,TOULON,VERSAILLES,PAU,CLERMONT-FERRAND
212,LYON,1,LYON,NICE,RENNES,TOULON,SAINT-NAZAIRE,PAU
278,LYON,1,LYON,MARSEILLE,NANTERRE,SAINT-ETIENNE,CLERMONT-FERRAND,SAINT-NAZAIRE
289,LYON,1,LYON,GRENOBLE,MARSEILLE,NICE,CLERMONT-FERRAND,NANCY
299,LYON,1,LYON,BOURG-EN-BRESSE,VALENCE,PARIS,NANCY,CLERMONT-FERRAND
44,MACON,1,MACON,CHALON-SUR-SAONE,CHALONS-EN-CHAMPAGNE,TROYES,AUXERRE,CLERMONT-FERRAND
184,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,LILLE,STRASBOURG,SAINT-NAZAIRE,BOULOGNE-SUR-MER
223,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,AVIGNON,TOULON,CLERMONT-FERRAND,PERPIGNAN
229,MARSEILLE,1,MARSEILLE,AIX-EN-PROVENCE,MONTPELLIER,TOULOUSE,PERPIGNAN,PAU
230,MARSEILLE,1,MARSEILLE,TOULOUSE,LYON,LILLE,CLERMONT-FERRAND,NANCY
231,MARSEILLE,1,MARSEILLE,LILLE,ANGERS,TOULON,SAINT-NAZAIRE,BOULOGNE-SUR-MER
266,MARSEILLE,1,MARSEILLE,LA ROCHELLE,RENNES,LILLE,SAINT-NAZAIRE,LES SABLES-D'OLONNE
277,MARSEILLE,1,MARSEILLE,PARIS,AIX-EN-PROVENCE,LYON,SAINT-NAZAIRE,PERPIGNAN
169,MEAUX,1,MEAUX,CRETEIL,PONTOISE,EVRY,NANCY,METZ
250,MEAUX,1,MEAUX,NANTERRE,EVRY,PONTOISE,BEAUVAIS,SENLIS
264,MEAUX,1,MEAUX,LILLE,REIMS,TOULON,NANCY,METZ
132,MELUN,1,MELUN,NANTERRE,PONTOISE,EVRY,NANCY,BOULOGNE-SUR-MER
87,METZ,6,MARSEILLE,NICE,TOULOUSE,LILLE,NANCY,METZ
162,METZ,5,MELUN,MEAUX,EVREUX,ROUEN,METZ,NANCY
